DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,VSD,LATITUDE,LONGITUDE,Distance,EMBER,FLAME
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Multi Pane,Wood,Wood,Combustible,No Fence,,,39.7126817,-121.5266086,12.01396158,11,35.92638
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71269085,-121.5267482,12.01396158,7,35.451149
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71270007,-121.5264322,15.26036448,11,35.92638
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen <= 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71904314,-121.5140014,52.88309704,12,6.76713
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen <= 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71858581,-121.5138287,52.88309704,5,8.148719
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen <= 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,39.71818556,-121.5131979,69.9866383,1,8.901575
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.71336619,-121.5244626,8.087889599,3,2.857449
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.71336476,-121.5245569,8.087889599,3,2.857449
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,0,39.71337002,-121.5243264,11.68324646,3,2.857449
Destroyed (>50%),,Metal,Unenclosed,No Vents,Combustible,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,1,39.71546842,-121.5376763,37.98653552,4,9.858488
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,,39.7141132,-121.5260243,12.26639857,7,35.979054
