DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,VSD,LATITUDE,LONGITUDE,Distance,EMBER,FLAME
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75480601,-121.6012056,23.63813299,,
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75501793,-121.6011786,22.8074524,,
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Single Pane,Unknown,No Deck/Porch,Unknown,No Fence,1945,,39.75543702,-121.6227042,25.169414,,8.675339
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,1945,,39.75743909,-121.5813647,36.50916258,,2.334374
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,Wood,Unknown,Combustible,1945,,39.7579776,-121.5821,31.7505124,1,
Destroyed (>50%),,Asphalt,No Eaves,"Mesh Screen > 1/8""",Combustible,Single Pane,Wood,No Deck/Porch,Non Combustible,No Fence,1945,,39.75854578,-121.589551,9.235243873,,
Destroyed (>50%),,Asphalt,No Eaves,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.7585058,-121.5896456,9.235243873,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.75895269,-121.598626,14.71297146,1,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75884218,-121.5987209,14.71297146,1,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,Masonry/Concrete,Unknown,Unknown,Unknown,1945,,39.75362048,-121.5729825,19.74945768,1,2.02664
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Unknown,No Deck/Porch,Unknown,Unknown,Unknown,1945,,39.75363508,-121.5732123,19.75563804,4,2.261299
No Damage,,,,,,,,,,,1945,,39.75354801,-121.5727551,13.55334272,1,2.02664
No Damage,,,,,,,,,,,1945,,39.75342701,-121.572734,13.55334272,2,0.939672
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,1945,,39.77074452,-121.6290951,24.63915117,,
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76155466,-121.5894648,15.45866508,2,2.034068
No Damage,,,,,,,,,,,1945,,39.76147054,-121.589321,15.45866508,,10.132015
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76336044,-121.6355946,38.3890579,,
Destroyed (>50%),,Metal,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.7619489,-121.5900624,11.2078201,,1.910258
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76199946,-121.5901756,11.2078201,1,1.608878
Minor (10-25%),,Metal,Enclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.76226476,-121.594574,35.27287356,1,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76224648,-121.5940514,24.21725995,,
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.75632236,-121.5730548,16.94147989,,1.920067
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75644761,-121.5731678,16.94147989,,1.920067
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75637238,-121.5733779,19.85014872,,1.920067
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76377084,-121.5907505,23.22839465,,1.834945
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76386589,-121.5910255,21.63963809,,1.834945
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,Non Combustible,1945,,39.75882642,-121.6226073,20.87013396,1,7.323405
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75392394,-121.6283179,24.68961035,,3.640835
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.74739682,-121.6282387,29.33121672,1,
No Damage,,,,,,,,,,,1945,,39.7683505,-121.5931646,29.58343621,1,2.709517
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.7663383,-121.6174501,10.34979041,,0.712606
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76626903,-121.617531,10.34979041,,0.712606
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76605559,-121.6174488,17.72642006,,8.874598
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76613936,-121.617625,16.49615619,,8.874598
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76657147,-121.6172822,29.60778059,1,9.010088
Destroyed (>50%),,Unknown,Unknown,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75554331,-121.6271386,13.58101509,,4.118145
Destroyed (>50%),,Unknown,Unknown,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.7554973,-121.6272854,13.58101509,,6.079504
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Unknown,Unknown,1945,,39.7689847,-121.6258707,14.31195233,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Unknown,Masonry/Concrete,No Deck/Porch,Unknown,Unknown,1945,,39.76900523,-121.6257057,14.31195233,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Unknown,No Fence,1945,,39.76925396,-121.6256806,27.69461439,,
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,1945,,39.76922312,-121.6064525,40.14331161,,0.834556
Destroyed (>50%),,Asphalt,Unknown,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,Non Combustible,1945,,39.75579606,-121.626743,7.936554058,,4.049635
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77066211,-121.6028126,14.19255759,,0.818799
Destroyed (>50%),,Asphalt,Unknown,No Vents,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77078039,-121.6028756,14.19255759,1,0.615023
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,1945,,39.77104078,-121.592073,9.521777387,,1.436977
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.77121644,-121.5919743,21.25593473,1,0.821404
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.77100223,-121.5921723,9.521777387,2,2.394351
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77251017,-121.6012183,11.44921489,1,2.116434
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.7725535,-121.6010971,11.44921489,1,2.116434
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77248308,-121.6270118,23.63822865,,
No Damage,,,,,,,,,,,1945,,39.77253398,-121.6009261,14.80291738,3,1.961261
Affected (1-9%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,Combustible,1945,,39.77327685,-121.6213421,18.32341373,1,1.952683
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.77336867,-121.6211364,20.35367791,1,1.726534
Destroyed (>50%),,Asphalt,No Eaves,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77322703,-121.6207023,32.52713035,,2.229599
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.7731697,-121.6211794,18.32341373,1,1.952683
Destroyed (>50%),,Asphalt,Unknown,No Vents,Ignition Resistant,Unknown,No Deck/Porch,Wood,Combustible,No Fence,1945,,39.77341538,-121.6003859,18.39475335,3,20.332621
Minor (10-25%),,Asphalt,Enclosed,No Vents,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.76681392,-121.5763315,14.04743495,1,1.881834
No Damage,,,,,,,,,,,1945,,39.76671326,-121.5762322,14.04743495,1,0.867763
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,1945,,39.74736371,-121.6273306,18.86052814,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.74745627,-121.627146,18.86052814,1,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.76825114,-121.5769535,26.55378306,,1.957726
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76816713,-121.5766393,22.24039527,4,2.146196
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76851162,-121.5762638,49.96721019,1,10.285856
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Multi Pane,No Deck/Porch,Wood,Combustible,Combustible,1945,,39.77576709,-121.5998537,27.58427697,2,0.96058
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,1945,,39.76813012,-121.5779631,8.962733134,1,0.893619
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76811197,-121.5778612,8.962733134,1,0.893619
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,1945,,39.7679599,-121.5776452,22.70560441,1,10.873191
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.76795352,-121.5779101,18.08161071,1,0.893619
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.7775143,-121.6274536,16.78055104,1,
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77743108,-121.62729,16.78055104,1,
Destroyed (>50%),,Asphalt,No Eaves,No Vents,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77864944,-121.5967905,20.01078542,2,5.309338
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77860306,-121.5963742,4.815836954,3,0.88005
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77853866,-121.5963639,7.203170912,3,0.88005
Destroyed (>50%),,Asphalt,Unknown,Unscreened,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.7786452,-121.5963876,4.815836954,3,0.88005
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.74879306,-121.6263655,12.37049076,,1.871069
Destroyed (>50%),,Asphalt,Unknown,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,Masonry/Concrete,Combustible,No Fence,1945,,39.74868738,-121.6264113,12.37049076,,
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.76834551,-121.6268686,23.62668256,,
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.7738131,-121.5799385,27.38607344,3,2.897635
Destroyed (>50%),,Asphalt,Enclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,1945,,39.78377608,-121.6006793,23.57257389,2,0.765612
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1945,,39.78516547,-121.6006368,18.73298172,,
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78499814,-121.6006084,18.73298172,,
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78530459,-121.60085,19.8905565,,
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Single Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,1945,,39.78519692,-121.5993425,40.03316136,,1.654205
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1945,,39.78981246,-121.5892046,19.04436199,1,7.133812
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78965093,-121.5892795,19.04436199,,1.515167
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,1945,,39.79003801,-121.5884259,18.14801633,,1.293225
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Combustible,1945,,39.78992468,-121.5882731,18.14801633,,1.293225
No Damage,,,,,,,,,,,1945,,39.74080489,-121.625096,55.86789801,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,1945,,39.78999457,-121.5853729,23.4696481,,2.686696
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,1945,,39.79004065,-121.5851054,23.4696481,1,0.916826
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Combustible,Combustible,1945,,39.76555055,-121.6180179,36.05069709,,8.159559
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,1945,,39.79283571,-121.5846226,14.18383764,2,1.913285
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.79289244,-121.5844742,14.18383764,3,7.303411
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.79509086,-121.5802625,12.98039796,1,0.684056
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.79509885,-121.5804137,12.98039796,1,1.25416
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,1945,,39.79635164,-121.5790631,38.12848342,4,0.920015
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77269744,-121.6233245,27.41938074,,
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.79877825,-121.5801386,21.48876433,2,0.378803
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,Non Combustible,1945,,39.79884611,-121.5803737,17.83486178,3,2.691117
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,1945,,39.79885682,-121.5806194,21.07664274,2,1.233894
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Wood,Wood,No Patio Cover/Carport,Non Combustible,1945,,39.79912494,-121.5802547,20.66824356,6,5.640444
Destroyed (>50%),,Asphalt,Unenclosed,Unscreened,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,1945,,39.79905027,-121.5805281,9.826009902,6,5.640444
Destroyed (>50%),,Asphalt,Unenclosed,Unscreened,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,1945,,39.79899996,-121.5804336,9.826009902,3,2.691117
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77260529,-121.6226498,9.501719667,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77253393,-121.6225886,9.501719667,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.74034399,-121.622735,9.415432209,1,
Destroyed (>50%),,Asphalt,No Eaves,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.74027476,-121.6227985,9.415432209,,7.046615
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.75694382,-121.6212061,8.622385533,,1.863307
Destroyed (>50%),,Asphalt,Unknown,No Vents,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75695213,-121.621106,8.622385533,,1.863307
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.77240539,-121.6115342,8.068725427,,4.318167
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77239124,-121.6116266,8.068725427,,8.998645
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,1945,,39.77063971,-121.6207733,25.2223709,,9.002542
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,1945,,39.77086668,-121.6207595,25.2223709,1,8.347285
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1945,,39.77118177,-121.620791,31.77130158,,0.586209
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1945,,39.75182322,-121.6014609,25.39315049,,
No Damage,,,,,,,,,,,1945,,39.74143925,-121.6184883,38.60539996,,2.347014
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,1945,,39.75975797,-121.6168761,41.88848214,1,1.631629
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75263115,-121.5994838,17.2801381,,2.228408
Destroyed (>50%),,Metal,Unknown,Unknown,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.75274816,-121.5996168,17.2801381,,2.228408
Minor (10-25%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1945,,39.78609686,-121.5948045,19.38182952,8,10.53838
Destroyed (>50%),,Metal,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78592398,-121.5947728,19.38182952,4,9.058808
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,1945,,39.7857611,-121.5945355,27.20212776,4,9.058808
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78597027,-121.5941819,38.1603224,1,10.350698
Destroyed (>50%),,Asphalt,No Eaves,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78559373,-121.5941161,40.43646227,2,20.342026
No Damage,,,,,,,,,,,1945,,39.78707315,-121.5956799,89.26919723,,0.922475
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78770582,-121.5950364,49.95894656,3,0.960364
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1945,,39.77059609,-121.6163851,18.21075266,1,1.667792
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.77074493,-121.6162957,18.21075266,1,1.667792
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,,39.78844104,-121.5934896,34.95806187,1,1.947429
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1945,,39.78915773,-121.5919492,25.9509979,1,1.619284
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1946,0,39.7621355,-121.6082521,11.74350162,4,10.591586
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1946,0,39.76212492,-121.608435,15.70956669,,2.351686
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1946,0,39.76223294,-121.6083055,11.74350162,,2.351686
