DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,FLAME,EMBER,LATITUDE,LONGITUDE,Distance,VSD
No Damage,95411,Concrete,No Eaves,"Mesh Screen > 1/8""",Stucco/Brick/Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1,38.6886824,-122.7944104,6761.531312,3
Destroyed (>50%),95411,Metal,Unenclosed,"Mesh Screen <= 1/8""",Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2000,,,38.68062635,-122.8263042,5707.767683,3
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1946,,,38.68062635,-122.8263042,5489.22821,3
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1946,,,38.68062635,-122.8263042,5104.258464,3
Destroyed (>50%),95448,Asphalt,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.61286787,-122.8118644,4357.643197,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,3.031882524,,38.63807075,-122.7198121,3687.50309,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,3.031882524,,38.63807075,-122.7198121,3493.515676,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,3.031882524,,38.63807075,-122.7198121,3411.471973,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1979,,,38.56753989,-122.811043,3035.95809,3
Minor (10-25%),95433,Metal,Unenclosed,No Vents,Metal,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1950,1.503649235,,38.6558937,-122.730072,3027.070906,3
Destroyed (>50%),,Tile,Unknown,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1977,,,38.65631321,-122.7304051,2842.730146,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1942,,,38.5721211,-122.772321,2567.279234,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1985,1.698079944,,38.5381882,-122.7672101,2479.156511,3
Destroyed (>50%),95433,Wood,Unknown,Unscreened,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,3.167471647,,38.67918589,-122.7283852,2318.482732,3
Destroyed (>50%),95433,Metal,Unknown,Unscreened,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,3.56178546,,38.67918032,-122.7284112,2208.102166,3
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,5.083388805,,38.67885992,-122.7319876,2182.094145,3
No Damage,95448,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.62643931,-122.8425228,2048.938392,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1986,,,38.5837369,-122.8254714,2010.813521,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1999,,,38.5837369,-122.8254714,1976.434131,3
Destroyed (>50%),95433,Metal,Unknown,Unscreened,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,4.683140278,,38.67916501,-122.7284826,1936.067742,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1980,,,38.61958998,-122.6818161,1911.07249,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2003,,,38.58694275,-122.8272309,1895.707,3
No Damage,95439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991,1.745288491,,38.5321285,-122.7627336,1874.424241,3
Affected (1-9%),95439,Metal,Enclosed,No Vents,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1991,1.598221183,,38.5321285,-122.7627336,1846.224061,3
Destroyed (>50%),95433,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.548886061,,38.64879326,-122.7225863,1846.224061,3
Destroyed (>50%),95433,Metal,Unknown,Unknown,Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.57880199,,38.64879288,-122.722582,1829.098757,3
No Damage,95448,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.62645709,-122.8430972,1826.341511,3
Destroyed (>50%),95433,Asphalt,Unknown,Unscreened,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,3.255897999,,38.67913537,-122.7286224,1797.705044,3
Destroyed (>50%),95433,Asphalt,Unknown,Unscreened,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,2.656607151,,38.67913401,-122.7286293,1774.038768,3
Destroyed (>50%),,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,Unknown,No Fence,,,,38.6404961,-122.7820022,1769.948682,3
Destroyed (>50%),95433,Metal,Unknown,Unscreened,Stucco/Brick/Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,3.255897999,,38.67912296,-122.7286854,1703.849188,3
Affected (1-9%),95492,Metal,Enclosed,No Vents,Metal,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1999,3.083737373,,38.64773541,-122.7359973,1638.324465,3
Destroyed (>50%),95492,Asphalt,Unknown,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,1979,,1,38.5807172,-122.7621829,1589.41591,3
Destroyed (>50%),95433,Metal,Unenclosed,No Vents,Other,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.436523795,,38.64886264,-122.7233071,1568.589427,3
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,3.462129593,,38.67900112,-122.729304,1536.828718,3
Destroyed (>50%),95433,Metal,Unknown,Unknown,Metal,Unknown,Wood,No Deck/Porch,Combustible,Non Combustible,1948,1.480852008,,38.64881077,-122.7227876,1519.42932,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,,,38.5839582,-122.8277488,1514.976803,3
Destroyed (>50%),95433,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.787469149,,38.64877292,-122.7223526,1512.409384,3
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1948,1.788630247,,38.64885423,-122.7232284,1491.225286,3
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1965,2.39030838,,38.64827423,-122.783152,1471.927878,3
Destroyed (>50%),95433,Metal,Unknown,Unknown,Unknown,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,,,38.64884838,-122.7231738,1470.714158,3
Destroyed (>50%),95433,Metal,Unknown,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.78542161,,38.64884821,-122.7231722,1446.598331,3
Destroyed (>50%),95433,Metal,Enclosed,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.78542161,,38.64883173,-122.7230182,1443.735983,3
Destroyed (>50%),95411,Metal,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,1965,1.824275017,,38.65374255,-122.7187119,1443.555959,3
Destroyed (>50%),95411,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,1965,0.617854655,,38.65374255,-122.7187119,1431.922459,3
Destroyed (>50%),95433,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.787469149,,38.64876603,-122.7222733,1430.872995,3
No Damage,95448,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.62643484,-122.8423699,1427.261646,3
Destroyed (>50%),95433,Metal,Unknown,No Vents,Unknown,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.684643745,,38.64887688,-122.7234401,1420.175328,3
Destroyed (>50%),95433,Metal,Unknown,Unknown,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,1948,1.877332449,,38.64876096,-122.722215,1390.524226,3
Destroyed (>50%),95433,Metal,Unknown,Unknown,Metal,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,1948,1.877332449,,38.64876052,-122.72221,1388.811785,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1965,2.39030838,,38.64833403,-122.783242,1377.206712,2
Destroyed (>50%),95433,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.787469149,,38.64875909,-122.7221935,1359.919344,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,1.622078776,,38.5530485,-122.7634614,1356.338636,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1953,,,38.5888722,-122.8411264,1304.969333,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.5888722,-122.8411264,1304.317506,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1949,,,38.5876458,-122.8332789,1295.630698,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920,,,38.58473702,-122.8413584,1280.88475,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.61417175,-122.7692165,1280.88475,2
Major (26-50%),95433,Metal,Unenclosed,No Vents,Other,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.684643745,,38.64888322,-122.7234994,1277.6209,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1971,,,38.5845775,-122.8329423,1277.6209,2
Destroyed (>50%),95403,Asphalt,Unknown,Unknown,Stucco/Brick/Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1885,0.75526756,,38.53573616,-122.7671674,1274.748685,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2013,,,38.66999275,-122.810678,1268.833831,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1988,,,38.58475985,-122.8391498,1262.759486,2
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2004,1.666333914,,38.6821763,-122.6584575,1262.759486,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1982,,,38.62278604,-122.782479,1253.575377,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1995,,,38.6167344,-122.7794831,1249.48775,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1995,,,38.6167344,-122.7794831,1195.96853,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1979,,,38.58660215,-122.8272049,1167.007035,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1.961228848,,38.63903432,-122.7849397,1138.211799,2
No Damage,95448,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.62667121,-122.8434009,1127.260497,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1954,,,38.58807973,-122.8427315,1127.260497,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.63656936,-122.7049709,1119.060897,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1977,,,38.56847885,-122.7969964,1107.54692,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1990,,,38.58908245,-122.8208137,1092.693081,2
Destroyed (>50%),95433,Metal,Unknown,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1948,1.294265985,,38.64889158,-122.7235775,1056.508387,2
No Damage,95403,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1885,,,38.53558694,-122.7670541,1049.032602,2
No Damage,95439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1990,2.174141884,,38.5467625,-122.7511285,1049.006795,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1987,,,38.5746367,-122.8308334,1041.762955,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1983,,,38.5746367,-122.8308334,1041.320104,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1983,,,38.5746367,-122.8308334,1035.367386,2
Destroyed (>50%),,Metal,Unknown,Unknown,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1977,,,38.6392856,-122.7751419,1033.822683,2
No Damage,,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1977,,,38.6392856,-122.7751419,1029.705662,2
Destroyed (>50%),95433,Metal,Unknown,Unscreened,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1950,4.090353012,,38.66576951,-122.7391707,1027.792211,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2014,,,38.58630905,-122.8329389,1020.868871,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2012,1.561017394,,38.6227206,-122.7773703,1003.999031,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991,2.09411478,,38.6227206,-122.7773703,987.3373282,2
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,2.298535824,3,38.61002285,-122.7510046,983.9920397,2
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen > 1/8""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2000,2.20353508,,38.61002285,-122.7510046,982.6696971,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,2.813909054,,38.61002285,-122.7510046,975.631964,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1975,,,38.56698385,-122.798169,974.843691,2
Affected (1-9%),95448,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Other,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Combustible,2004,,,38.6128764,-122.8184002,953.9438202,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1987,,,38.57454819,-122.8309327,948.0348781,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1953,,,38.5876726,-122.828303,934.4715063,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1893,,,38.66100521,-122.8004732,932.8204475,2
No Damage,95439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2003,3.335844755,,38.54861955,-122.740691,931.1539645,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,3.980575085,,38.63798882,-122.7597207,930.9902401,2
Destroyed (>50%),95492,Other,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1977,,,38.583973,-122.8248946,927.3666432,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1977,,,38.583973,-122.8248946,927.3666432,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1986,,,38.583973,-122.8248946,926.9211993,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2003,,,38.61345068,-122.8136345,895.4067504,2
No Damage,95403,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1992,2.621540308,,38.54626848,-122.7577936,887.1733906,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2005,,,38.61841435,-122.8191695,883.149648,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1992,1.828438044,,38.5468209,-122.7584095,881.6593369,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1981,,1,38.64334525,-122.7662369,877.5275576,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1980,,,38.58870825,-122.8334907,868.6288008,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2014,,,38.58870825,-122.8334907,856.8274444,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1951,,,38.58870825,-122.8334907,855.6049677,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1918,,,38.6216131,-122.689484,837.7021485,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1923,,,38.6216131,-122.689484,818.5879812,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1923,,,38.6216131,-122.689484,812.5596563,2
Destroyed (>50%),95439,Tile,Unknown,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Unknown,Unknown,Unknown,Unknown,Unknown,1991,1.483754396,,38.5425004,-122.7533576,774.4419802,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.63601865,-122.7061881,772.6744148,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1919,2.916188717,4,38.58154202,-122.7932412,767.5426164,2
Minor (10-25%),95492,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,1995,,,38.6381972,-122.770567,759.968231,2
Destroyed (>50%),95492,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,1995,,,38.6381972,-122.770567,755.3178969,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,1987,,,38.6233507,-122.7518985,755.3178969,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1981,,,38.56611865,-122.796154,746.9543884,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1981,,,38.56611865,-122.796154,744.4659336,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1981,,,38.56611865,-122.796154,739.6799961,2
Destroyed (>50%),95492,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1986,4.838082314,1.087788184,38.567132,-122.770553,736.8986676,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1986,6.063565254,5.262640973,38.567132,-122.770553,727.8581342,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1986,0.395308882,1,38.567132,-122.770553,727.8581342,2
Destroyed (>50%),95492,Asphalt,Unknown,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1986,1.129340529,,38.567132,-122.770553,725.8218205,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1986,3.448374748,1,38.567132,-122.770553,720.195919,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1954,,,38.58807783,-122.8428786,713.1624608,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2012,1.449568987,,38.5774459,-122.7965152,710.9952278,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1966,,,38.66572536,-122.8041829,698.7067248,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1941,1.979500294,,38.57887968,-122.792921,685.286348,2
No Damage,95411,Tile,Enclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Unknown,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,2002,2.227784872,,38.65015905,-122.7879038,681.8400025,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2002,,,38.65015905,-122.7879038,676.9347608,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1996,1.947885513,,38.60529341,-122.7750876,672.3974966,2
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2008,,,38.598638,-122.763072,668.6242048,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1992,,,38.58654105,-122.8258459,668.6242048,2
No Damage,95439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2013,1.914369702,,38.54623495,-122.7459609,667.5724413,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2010,,,38.61526235,-122.8270111,667.5724413,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1996,,,38.565114,-122.799346,664.1504389,2
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1999,5.72217226,,38.68133455,-122.7508242,663.5246679,2
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1999,4.250365734,,38.68133455,-122.7508242,660.9751553,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.65885955,-122.8038839,660.9751553,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.65885955,-122.8038839,655.1011975,2
No Damage,95439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1998,3.895526648,1,38.54809845,-122.7444126,651.9197617,2
Destroyed (>50%),95439,Tile,Unknown,Unknown,Stucco/Brick/Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Non Combustible,1998,6.779364586,,38.54809845,-122.7444126,651.7913365,2
No Damage,95448,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.62776996,-122.8373604,651.4131787,2
Destroyed (>50%),95492,Metal,Unknown,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0.938760221,,38.5565065,-122.7618911,649.7095205,2
Destroyed (>50%),95492,Metal,Unknown,No Vents,Stucco/Brick/Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0.938760221,,38.5565065,-122.7618911,644.9462477,2
Destroyed (>50%),95492,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,5.414630413,3,38.5565065,-122.7618911,641.0891071,2
Destroyed (>50%),95492,Asphalt,Unknown,Unknown,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1981,4.499419689,,38.5565065,-122.7618911,640.7052305,2
Destroyed (>50%),95492,Asphalt,Unknown,Unknown,Stucco/Brick/Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1981,9.482608795,1,38.5565065,-122.7618911,640.3979276,2
Destroyed (>50%),95492,Metal,Unknown,Unknown,Metal,Single Pane,Unknown,Unknown,Unknown,Unknown,1946,,,38.5961332,-122.8159638,638.7015565,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1990,,,38.53232775,-122.7728846,636.3808619,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1990,,,38.53232775,-122.7728846,631.1526865,2
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1962,,,38.6613861,-122.8130322,624.9174039,2
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1939,,,38.59961606,-122.8467131,623.7987181,2
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,1.471721292,,38.67850937,-122.804683,623.1027535,2
