DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,FLAME,EMBER,LATITUDE,LONGITUDE,Distance,VSD
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1995,7.342830181,4,38.5931849,-122.791649,108.7339625,0
Destroyed (>50%),95433,Asphalt,Unknown,"Mesh Screen > 1/8""",Wood,Unknown,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.6415413,-122.7453987,108.6655533,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1944,,,38.6223467,-122.814454,108.5862237,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1967,1.520120144,,38.57711405,-122.775115,108.2994099,0
Destroyed (>50%),,Wood,Unknown,Unscreened,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,15.90481472,2,38.6471754,-122.7597433,107.6606995,0
Destroyed (>50%),,Asphalt,Unknown,Unscreened,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1.073808789,,38.6476407,-122.7603169,107.6606995,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1900,,,38.54529579,-122.7671002,107.2075816,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1925,,,38.5416566,-122.7741528,106.3814913,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1978,,,38.5421352,-122.773638,105.7096455,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1923,,,38.62788007,-122.6808765,105.4453032,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,,,38.56508075,-122.8025422,105.4453032,0
No Damage,,Unknown,Unknown,"Mesh Screen <= 1/8""",Unknown,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Unknown,1953,1.662669182,,38.61482513,-122.7621565,105.2927063,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Unknown,1953,2.303610563,,38.61435975,-122.7616645,105.2927063,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1890,,,38.62769223,-122.6781736,104.1491408,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1967,1.205121756,,38.62818535,-122.769035,104.1491408,0
Destroyed (>50%),,Metal,Unknown,"Mesh Screen <= 1/8""",Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1989,,,38.643031,-122.7700429,104.0339395,0
Destroyed (>50%),,Metal,Unknown,"Mesh Screen <= 1/8""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,1994,,,38.6433795,-122.7706581,103.523504,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,,,38.677992,-122.805049,103.523504,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1998,,,38.5644741,-122.8024377,103.5015203,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,4.538602352,,38.58338584,-122.7961799,103.5015203,0
Destroyed (>50%),95492,Asphalt,Unknown,No Vents,Stucco/Brick/Cement,Unknown,Unknown,Unknown,No Patio Cover/Carport,No Fence,1977,1.648574471,,38.5921674,-122.7908332,103.3180309,0
Affected (1-9%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1975,2.509516001,,38.5925226,-122.7914059,102.014119,0
Destroyed (>50%),,Metal,Unknown,Unknown,Stucco/Brick/Cement,Unknown,Masonry/Concrete,Unknown,Unknown,No Fence,2008,,,38.59876644,-122.7643058,101.6289024,0
Destroyed (>50%),95492,Asphalt,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,2.826078653,,38.54562778,-122.7664031,101.3534202,0
Destroyed (>50%),95492,Metal,Unknown,Unknown,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,2.140205145,,38.54593497,-122.7658221,100.3503468,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1984,,,38.648384,-122.8111848,100.3503468,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1984,,,38.64890213,-122.8113973,99.6122835,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,3.510239363,,38.54597829,-122.7572107,99.09937141,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2002,0.888286829,,38.55630085,-122.7732842,99.09937141,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1968,,,38.55642015,-122.7739571,98.85646068,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1976,2.899349451,,38.55306757,-122.7727611,97.17320026,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991,,,38.5652456,-122.8010914,97.17320026,0
Destroyed (>50%),95448,Metal,Unknown,Unknown,Metal,Single Pane,Wood,Wood,Non Combustible,Unknown,1990,,1,38.57951087,-122.7699181,96.63440145,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1990,14.92938423,4,38.57951417,-122.7692363,96.52393639,0
Destroyed (>50%),95448,Metal,No Eaves,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1900,,,38.66105332,-122.7995614,95.415169,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1999,,,38.5623847,-122.7994023,95.415169,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1994,,,38.56447015,-122.8016865,94.57855854,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1957,,,38.5882905,-122.8328578,94.57855854,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1972,,,38.62382025,-122.7731165,94.5561482,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1964,2.709257364,,38.5589506,-122.773837,94.28914951,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1994,4.568237782,,38.5588622,-122.7731982,94.28914951,0
