DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,VSD ,YEARBUILT,Distance,EMBER,FLAME,LATITUDE,LONGITUDE
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1963,35.78287077,0.182591146,,34.292053,-119.2110118
No Damage,,,,,,,1,,9.975053075,0,,34.29235755,-119.2163074
No Damage,,,,,,,1,,26.44138659,0.070003933,,34.29054685,-119.2226814
No Damage,,,,,,,1,,10.02481643,0.185548503,,34.29241665,-119.2158366
No Damage,,,,,,,1,,12.49053165,0.005711263,,34.29241665,-119.2158366
No Damage,,,,,,,1,,9.219799767,0,,34.29241665,-119.2158366
No Damage,93003,,,,,,1,,9.219799767,0.217201063,,34.29241665,-119.2158366
No Damage,93003,,,,,,1,,7.591865201,0.028050673,,34.29241665,-119.2158366
No Damage,,,,,,,1,,7.591865201,0,,34.29241665,-119.2158366
No Damage,93003,,,,,,1,,35.22128285,0,,34.2906153,-119.2230856
Destroyed (>50%),,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane,1,1973,14.2268835,0.180306668,9.097042084,34.2913996,-119.2207168
No Damage,93060,,,,,,1,,163.5919891,0.507609524,7.579593658,34.38940982,-119.1381907
No Damage,,,,,,,1,,30.84177357,0.121675618,,34.2907067,-119.2222215
Destroyed (>50%),,Fire Resistant,Unknown,No Vents,Fire Resistant,Single Pane,1,1962,10.77617977,0,2.32379055,34.291696,-119.2076339
No Damage,,,,,,,1,,22.91527948,0,,34.29061175,-119.2243479
No Damage,,,,,,,1,,9.994973489,0,,34.2926106,-119.2163352
No Damage,,,,,,,1,,26.44138659,0.012826877,,34.2907715,-119.2227218
No Damage,,,,,,,1,,10.40836424,0.00051039,,34.29261385,-119.2158329
No Damage,93003,,,,,,1,,8.183265807,0.062619222,,34.29261385,-119.2158329
Destroyed (>50%),93060,Unknown,Not Applicable,Unknown,Unknown,Unknown,1,0,1.421740541,0,1.525463581,34.42145848,-119.0822785
No Damage,,,,,,,1,,137.171284,0.173500977,,34.32949055,-119.2903103
No Damage,93060,,,,,,1,,11.09092747,0.154153917,9.357904434,34.39083492,-119.138062
